"Merchant_Product_Number","EAN_Code","Product_Name","Manufacturer","brand","Beer style","Price","Price_old","Currency","DeepLink_URL","Image_Small_URL","Image_Large_URL","Merchant_Product_Category","Product_Description_Long","Shipping","availability"
"Bierbroeders-3.33_1","7432230666696","Bierbroeders #3","Brouwerij Bierbroeders","Bierbroeders","Blond Bier","3.14","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/bierbroeders-3.33","https://www.beerwulf.com/globalassets/bierbroeders-3.33_1_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/bierbroeders-3.33_1_1.png?w=400&h=400","414","Kleur is goudkleurig tot amber. Schuimkraag is vol en stevig. Moutige smaak met spicy elementen dankzij het gebruik van vlierbessen en roze peper.","26,85","true"
"Brouwerij-t-IJ-Flinck.33_1","8717545260289","Brouwerij 't IJ Flink","Brouwerij 't IJ","Brouwerij 't ij","Pale Ale","2.59","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/brouwerij-t-ij-flink.33","https://www.beerwulf.com/globalassets/brouwerij-t-ij-flinck.33_1_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/brouwerij-t-ij-flinck.33_1_1.png?w=400&h=400","414","Goudgeel bier, heel licht mistig, stevige witte schuimkraag. Neus zit vol citrusfruit en kruidenaroma’s. Dit is een krachtig en smaakvol bier met slechts 4,7% alcohol.","26,85","true"
"Affligem-Tripel.3_1","5411098730314","Affligem Tripel","Affligem Brouwerij","Affligem","Tripel Bier","1.79","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/affligem-tripel.3","https://www.beerwulf.com/globalassets/affligem-tripel.3_1_02.png?w=100&h=100","https://www.beerwulf.com/globalassets/affligem-tripel.3_1_02.png?w=400&h=400","414","Amber, goudgoudkleurig, helder, met een grote standvastige witte schuimkraag. Fruitige zoet aroma's bepalen het gezicht van de koning der abdijbieren. Deze Tripel heeft een stevige body en toch een frisse smaak.","26,85","true"
"Brand-IPA.3_1","0000087232363","Brand IPA","Brand Bierbrouwerij","Brand","IPA","1.79","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/brand-ipa.3","https://www.beerwulf.com/globalassets/brand-ipa.3_1_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/brand-ipa.3_1_1.png?w=400&h=400","414","Het bier van Jeroen Free, winnaar van de Brand Bierbrouwwedstr?d 2014. Kenmerkt zich door een fruitige, citrusachtige smaak met een zacht bittere afdronk.","26,85","true"
"De-Molen-Op--Top.33_1","8717624421020","De Molen Op & Top","Brouwerij De Molen","De molen","Pale Ale","2.33","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/de-molen-op--top.33","https://www.beerwulf.com/globalassets/de-molen-op--top.33_1_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/de-molen-op--top.33_1_0.png?w=400&h=400","414","Oranje tot amberkleurig bier, nagenoeg helder met een gekleurde schuimkraag. Dit bittere smaakvolle bier heeft slechts 4,5% alcohol. Aroma’s van kruidige hop, citrusfruit en mout.","26,85","true"
"Brand-Weizen.3_1","0000087232165","Brand Weizen","Brand Bierbrouwerij","Brand","Weizenbier","1.34","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/brand-weizen.3","https://www.beerwulf.com/globalassets/brand-weizen.3_1_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/brand-weizen.3_1_1.png?w=400&h=400","414","Goudkleurig, licht mistig, met een prachtige plakkerige schuimkraag. Rijp fruit, zoals banaan en abrikoos, maken hier de dienst uit. De nasmaak is heel zacht, een beetje fris en vooral rond.","26,85","true"
"St.-Bernardus-Tripel.33_1","0000054079038","St. Bernardus Tripel","St. Bernardus Brouwerij","St bernardus","Tripel Bier","2.89","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/st.-bernardus-tripel.33","https://www.beerwulf.com/globalassets/st.-bernardus-tripel.33_1_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/st.-bernardus-tripel.33_1_1.png?w=400&h=400","414","Erkend abdijbier, sterk aromatische tripel met fruit en florale geuren. Zoete aroma’s uit de mout  geven dit bier een heel zacht karakter. Lichte bitterheid geeft nog meer diepte aan dit complexe bier.","26,85","true"
"Westmalle-Tripel.33_1","5412343201337","Westmalle Tripel","Brouwerij Westmalle","Westmalle","Tripel Bier","2.59","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/westmalle-tripel.33","https://www.beerwulf.com/globalassets/westmalle-tripel.33_1_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/westmalle-tripel.33_1_1.png?w=400&h=400","414","De Westmalle Tripel wordt ook wel de moeder aller tripels genoemd. Deze complexe, goudkleurige en licht troebele Trappist combineert flinke fruit aroma's met een aangename kruidigheid. Hinten van rijpe banaan en kruiden maken de smaakbeleving van een van de beste Tripels helemaal af.","26,85","true"
"Leffe-Bruin-Dubbel.3_1","0000054018037","Leffe Bruin","Brouwerij Artois","Leffe","Dubbel Bier","2.33","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/leffe-bruin-dubbel.3","https://www.beerwulf.com/globalassets/leffe-bruin-dubbel.3_1_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/leffe-bruin-dubbel.3_1_1.png?w=400&h=400","414","Roodbruin abdijbier met een stevige crème-kleurige schuimkraag. Gebrande mout, karamel, toast geven deze Dubbel samen met een zachte bitterheid een gezicht.","26,85","true"
"Rochefort-8.33_1","5412858000081","Rochefort 8'","Brouwerij Rochefort","Rochefort","Quadrupel","2.89","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/rochefort-8.33","https://www.beerwulf.com/globalassets/rochefort-8.33_1_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/rochefort-8.33_1_1.png?w=400&h=400","414","De Rochefort 8, of « La Spéciale », is het recentste van de drie bieren. Het bier is wilder van kleur, smaakt scherper door en is nog fruitiger (een vleugje vijgen ?) en iets droger en kruidiger, zoals een cake, voor een evenwichtige afdrink. Het alcoholgehalte bedraagt 9.2%.","26,85","true"
