Unique Id;Custom Content Map Id;Unique Label;Geo Targeting;price;title;discount_percentage;image_link;id;imageUrl;a;a
1;45793;14.99 EUR_81;Antarctica;14.99 EUR;Draadloze LED Buitenlamp op Zonne-energie - V;81;https://www.koopjedeal.nl/media/catalog/product/z/o/zo-a-solar-newyork-google.jpg;7784;2 children dj es;https://www.koopjedeal.nl/solar-led-buitenlamp-met-bewegingssensor-aanbiedingen.html?hidepopup;Antarctica
2;45794;69.99 EUR_61;Antarctica;69.99 EUR;Uittrekbare Wind- / Zonneschermen - Met autom;61;https://www.koopjedeal.nl/media/catalog/product/w/i/windscherm-web-kjd_1.jpg;9457;2 children dj es;https://www.koopjedeal.nl/luxe-uittrekbare-wind-en-zonneschermen.html?hidepopup;Antarctica
3;45795;199.00 EUR_31;Antarctica;199.00 EUR;92-delige Gereedschapswagen van Wolfgang Germ;31;https://www.koopjedeal.nl/media/catalog/product/t/r/trolley-web-kjd_1.jpg;11631;2 children dj es;https://www.koopjedeal.nl/92-delige-metalen-gereedschapstrolley-van-wolfgang-germany-aanbieding.html?hidepopup;Antarctica
4;45796;49.99 EUR_75;49.99 EUR;20V Accuboormachine van Wolfgang Germany - Kr;75;https://www.koopjedeal.nl/media/catalog/product/b/o/boormachie.jpg;16376;;https://www.koopjedeal.nl/krachtige-20v-accuboormachine-schroefmachine-van-wolfgang-germany.html?hidepopup;;
5;45797;999.00 EUR_67;999.00 EUR;Luxe Elektrisch Verstelbare Boxspring (2-pers;67;https://www.koopjedeal.nl/media/catalog/product/b/o/boxspring-web-kjd_6.jpg;20413;;https://www.koopjedeal.nl/volledig-verstelbare-elektrische-boxspring-2-persoons.html?hidepopup;;
6;45798;12.99 EUR_57;12.99 EUR;Gillette Scheermesjes (8 stuks) - Keuze uit M;57;https://www.koopjedeal.nl/media/catalog/product/g/i/gillete_sfeer_nieuw.png;20458;;https://www.koopjedeal.nl/gillette-scheermesjes-8-stuks-mach3-turbo-fusion.html?hidepopup;;
7;45799;19.99 EUR_60;19.99 EUR;Katoenen Polo's van Pierre Cardin - Soepele p;60;https://www.koopjedeal.nl/media/catalog/product/p/o/polo26-05-web-kjd.jpg;21276;;https://www.koopjedeal.nl/katoenen-poloshirts-van-pierre-cardin.html?hidepopup;;
8;45800;8.99 EUR_82;8.99 EUR;Compressiesokken Therapeutisch Kopergeweven  ;82;https://www.koopjedeal.nl/media/catalog/product/s/o/sokken-web-kjd_2.jpg;21991;;https://www.koopjedeal.nl/2-paar-kopergeweven-compressiesokken-2-varianten.html?hidepopup;;
9;45801;39.99 EUR_73;39.99 EUR;Draagbare Luchtcompressor van Wolfgang German;73;https://www.koopjedeal.nl/media/catalog/product/l/u/luchtcompressor_web_kjd.jpg;23999;;https://www.koopjedeal.nl/draagbare-luchtcompressor-van-wolfgang-germany.html?hidepopup;;
10;45802;19.99 EUR_71;19.99 EUR;Ultrasone Dierenverjager - Werkt tegen o.a. s;71;https://www.koopjedeal.nl/media/catalog/product/v/e/verjager-web-kjd.jpg;25218;;https://www.koopjedeal.nl/ultrasone-honden-katten-en-steenmarter-verjager.html?hidepopup;;
11;45803;24.99 EUR_72;24.99 EUR;500-PACK 3-laags Vaatwastabletten - Haal jouw;72;https://www.koopjedeal.nl/media/catalog/product/v/a/vaatwastablet-web-kjd_2.jpg;26968;;https://www.koopjedeal.nl/500-stuks-3-laags-vaatwastabletten.html?hidepopup;;
12;45804;59.99 EUR_40;59.99 EUR;18V Accuboormachine van Wolfgang Germany - In;40;https://www.koopjedeal.nl/media/catalog/product/a/c/accuboor-web-kjd.jpg;28829;;https://www.koopjedeal.nl/wolfgang-germany-18v-accuboormachine-met-84-accessoires.html?hidepopup;;
13;45805;14.99 EUR_75;14.99 EUR;Therapeutische Rugband van MyCare+ - Maat - M;75;https://www.koopjedeal.nl/media/catalog/product/r/u/rugband-web-kjd_1.jpg;28844;;https://www.koopjedeal.nl/therapeutische-mycare-rugbanden.html?hidepopup;;
14;45806;59.99 EUR_50;59.99 EUR;Dual Action Polijstmachine van Wolfgang Germa;50;https://www.koopjedeal.nl/media/catalog/product/p/o/polijstmachinewolfgang-19-06-19-web-1.jpg;31894;;https://www.koopjedeal.nl/wolfgang-germany-dual-action-polijstmachine.html?hidepopup;;
15;45807;29.99 EUR_70;29.99 EUR;10 paar Therapeutische Compressiesokken - Ver;70;https://www.koopjedeal.nl/media/catalog/product/s/o/sokken-web-kjd_2_1.jpg;32558;;https://www.koopjedeal.nl/compressie-sokken-aanbieding-10paar.html?hidepopup;;
16;45808;24.99 EUR_83;24.99 EUR;Opleg Topdekmatras met Medische Gel - Verhoog;83;https://www.koopjedeal.nl/media/catalog/product/m/e/medische_gel_template_kleurenbolletjes_tekengebied_1_kopie.png;32709;;https://www.koopjedeal.nl/hotel-opleg-topdekmatras-met-medisch-gel.html?hidepopup;;
17;45809;59.99 EUR_70;59.99 EUR;Bluetooth Soundbar Speaker voor alle TV's - S;70;https://www.koopjedeal.nl/media/catalog/product/s/p/speaker-web-kjd_1.jpg;32794;;https://www.koopjedeal.nl/dutch-originals-bluetooth-soundbar-speaker.html?hidepopup;;
18;45810;14.99 EUR_81;14.99 EUR;1+1 GRATIS: LED Zaklampen - 1000m Bereik - Vo;81;https://www.koopjedeal.nl/media/catalog/product/z/a/zaklampen-web-kjd.jpg;34287;;https://www.koopjedeal.nl/1-1-gratis-militaire-zaklampen.html?hidepopup;;
19;45811;19.99 EUR_83;19.99 EUR;Luxe Geweven Gordijnen (150 x 260 cm) - Verdu;83;https://www.koopjedeal.nl/media/catalog/product/g/o/gordijnen-web-kjd_3.jpg;35268;;https://www.koopjedeal.nl/geweven-gordijnen-150-x-260-cm.html?hidepopup;;
20;45812;399.00 EUR_73;399.00 EUR;Comfort Boxspring met Extra Opbergruimte - 1 ;73;https://www.koopjedeal.nl/media/catalog/product/_/w/_web_kjd_0004_opslag_boxspring_shurgard_frontaal_naakt_open.jpg;35809;;https://www.koopjedeal.nl/complete-2-persoons-boxspring-met-opbergruimte.html?hidepopup;;
21;45813;9.99 EUR_80;9.99 EUR;Overzetzonnebril met 100% UV-protectie - Voor;80;https://www.koopjedeal.nl/media/catalog/product/o/v/overzetbril-web-kjd.jpg;38493;;https://www.koopjedeal.nl/overzetzonnebrillen-aanbieding.html?hidepopup;;
22;45814;99.99 EUR_69;99.99 EUR;Elektronische Spierstimulator - Biedt snelle ;69;https://www.koopjedeal.nl/media/catalog/product/s/p/spierstimulator-web-kjd_1.jpg;38498;;https://www.koopjedeal.nl/elektrische-spierstimulator.html?hidepopup;;
23;45815;2.99 EUR_93;2.99 EUR;1+1 GRATIS Desinfectie Gel met 70% ethanol  -;93;https://www.koopjedeal.nl/media/catalog/product/h/a/handgel-web-kjd_3_1.jpg;40236;;https://www.koopjedeal.nl/1-1-gratis-universele-desinfectie-reinigers-geschikt-voor-o-a-smartphones-autosturen-winkelwagens-en-deurklinken.html?hidepopup;;
24;45816;149.00 EUR_75;149.00 EUR;Luxe Tuinset met een Zitbank, 2 Stoelen en ee;75;https://www.koopjedeal.nl/media/catalog/product/c/a/camilla-web-kjd_2.jpg;40238;;https://www.koopjedeal.nl/tuinset-model-camilla.html?hidepopup;;
25;45817;139.00 EUR_77;139.00 EUR;Tuinset Pablo - Set met dubbele zitbank, 2 st;77;https://www.koopjedeal.nl/media/catalog/product/p/a/pablo-tuinse-web-kjd.jpg;40239;;https://www.koopjedeal.nl/tuinset-model-pablo.html?hidepopup;;
26;45818;4.99 EUR_93;4.99 EUR;10-Pack 5-Laags Mondkapjes KN95- Comfortabel ;93;https://www.koopjedeal.nl/media/catalog/product/m/o/mondkapje-web-kjd_2.jpg;41008;;https://www.koopjedeal.nl/10-pack-5-laags-kn95-mondkapjes.html?hidepopup;;
